"Factsheet Id","Workspace Id","Workspace Name","Display Name","Category","Release","Technopedia Status","Technopedia External Id","Asset Provider","Asset Edition","Asset Version","Asset Manufacturer","Asset Name","Asset External Id","Asset Taxonomy Id","LTLS Id","LTLS Full Name","LTLS Base Name","LTLS Version","LTLS Provider Name","LTLS Edition","Tech Stack Name","Technolot LTLS Id","Migration Success Flag","Migration Comment"
"dbad483b-603a-4749-a155-2fc22ca41118","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox",".NET Framework 4.7 (4.7.2)","software","4.7 (4.7.2)","LINKED","sw_706549697",,,"4.7 (4.7.2)","Microsoft","Microsoft .NET Framework 4.7 (4.7.2)","706549697","19892850","lx_ITC_004293","Microsoft .NET Framework 4.7.2",".NET Framework","4.7.2","Microsoft","","Software Development / Application Architecture and Design","None",false,
"7e2c5dc9-6955-42eb-a5b5-f46bd7ce7ca4","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Abdio PDF Editor 7 (7.0)","software","7 (7.0)","LINKED","sw_27453172",,,"7 (7.0)","Abdio","Abdio PDF Editor 7 (7.0)","27453172","19892869","lx_ITC_015921","Abdio PDF Editor 7","PDF Editor","7.0","Abdio","","Utilities / File Managers","None",false,
"98f6ad83-90a7-4d71-801a-55ccc3719ac3","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Acrobat Pro 9.0","software","9.0","LINKED","sw_7487583",,"Pro","9.0","Adobe Systems","Adobe Systems Acrobat Pro 9.0","7487583","19892806","lx_ITC_001040","Adobe Systems Acrobat Pro 9.0","Acrobat","9.0","Adobe Systems","Pro","Multimedia & Graphics / Desktop Publishing (DTP)","None",false,
"87d7a2bb-1218-4c77-8401-fece67ab0bfd","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Acrobat Pro X (10.0)","software","X (10.0)","LINKED","sw_16539890",,"Pro","X (10.0)","Adobe Systems","Adobe Systems Acrobat Pro X (10.0)","16539890","19892806","lx_ITC_001036","Adobe Systems Acrobat Pro 10.0","Acrobat","10.0","Adobe Systems","Pro","Multimedia & Graphics / Desktop Publishing (DTP)","None",false,
"62dd71cf-f34b-471b-9243-fe677233c28d","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Acrobat Standard 9.0","software","9.0","LINKED","sw_6669002",,"Standard","9.0","Adobe Systems","Adobe Systems Acrobat Standard 9.0","6669002","19892806","lx_ITC_001063","Adobe Systems Acrobat Standard 9.0","Acrobat","9.0","Adobe Systems","Standard","Multimedia & Graphics / Desktop Publishing (DTP)","None",false,
"6df294ab-7cd7-4376-ab4c-b5f87d29d739","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Acrobat Standard X (10.0)","software","X (10.0)","LINKED","sw_16539903",,"Standard","X (10.0)","Adobe Systems","Adobe Systems Acrobat Standard X (10.0)","16539903","19892806","lx_ITC_001059","Adobe Systems Acrobat Standard 10.0","Acrobat","10.0","Adobe Systems","Standard","Multimedia & Graphics / Desktop Publishing (DTP)","None",false,
"3c31aa69-eed3-4022-a3be-3853095b0311","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Acrobat Standard XI (11.0)","software","XI (11.0)","LINKED","sw_30710828",,"Standard","XI (11.0)","Adobe Systems","Adobe Systems Acrobat Standard XI (11.0)","30710828","19892806","lx_ITC_001061","Adobe Systems Acrobat Standard 11.0","Acrobat","11.0","Adobe Systems","Standard","Multimedia & Graphics / Desktop Publishing (DTP)","None",false,
"ba791fb1-f727-4576-969b-f761f7037b35","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Creative Illustrator 10.0","software","10.0","LINKED","sw_1029235",,,"10.0","Adobe Systems","Adobe Systems Creative Illustrator 10.0","1029235","19892807","lx_ITC_016260","Adobe Systems Creative Illustrator 10.0","Creative Illustrator","10.0","Adobe Systems","","Multimedia & Graphics / Graphics and Image Editing","None",false,
"7d441e18-4b95-41b0-8faf-7d5efd6b79ee","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Digital Editions 9.0 (9.0.1085.27)","software","9.0 (9.0.1085.27)","LINKED","sw_6397701",,,"9.0 (9.0.1085.27)","Adobe Systems","Adobe Systems Digital Editions 9.0 (9.0.1085.27)","6397701",,"lx_ITC_016262","Adobe Systems Digital Editions Installer 9.0.1085.27","Digital Editions Installer","9.0.1085.27","Adobe Systems","","Reference and Education / Other Educational Software","None",false,
"ddc6e645-6ea8-4aba-8018-4bc11d8ea506","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Experience Manager 6 (6.4)","software","6 (6.4)","LINKED","sw_557048798",,,"6 (6.4)","Adobe Systems","Adobe Systems Experience Manager 6 (6.4)","557048798","19892753","lx_ITC_001196","Adobe Systems Experience Manager 6.4","Experience Manager","6.4","Adobe Systems","","Enterprise Content Management (ECM) / Web Content Management","None",false,
"0ab310ba-f813-4279-97a2-b3a67c5d980c","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Experience Manager 6.5","software","6.5","LINKED","sw_764788051",,,"6.5","Adobe Systems","Adobe Systems Experience Manager 6.5","764788051","19892753","lx_ITC_013017","Adobe Systems Experience Manager 6.5","Experience Manager","6.5","Adobe Systems","","Enterprise Content Management (ECM) / Web Content Management","None",false,
"e3bf7ef5-4e14-491b-b4b0-0a9a6c992fef","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Macromedia Dreamweaver 8.0","software","8.0","LINKED","sw_1053859",,,"8.0","Adobe Systems","Adobe Systems Macromedia Dreamweaver 8.0","1053859","19892811","lx_ITC_013823","Adobe Systems Dreamweaver 8.0","Dreamweaver","8.0","Adobe Systems","","Multimedia & Graphics / Web Design","None",false,
"96fab680-0bcb-4a2a-b0a7-5bbbcc637894","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Reader (Acrobat Reader) 11.0","software","11.0","LINKED","sw_123069287",,,"11.0","Adobe Systems","Adobe Systems Acrobat Reader 11.0","123069287","19892751","lx_ITC_001045","Adobe Systems Acrobat Reader 11.0","Acrobat Reader","11.0","Adobe Systems","","Enterprise Content Management (ECM) / Document and Records Management","None",false,
"366b0111-0e78-4474-91f7-351681ff476e","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Reader (Acrobat Reader) 9.0 (9)","software","9.0 (9)","LINKED","sw_1639227",,,"9.0 (9)","Adobe Systems","Adobe Systems Reader (Acrobat Reader) 9.0 (9)","1639227","19892751","lx_ITC_001020","Adobe Systems Acrobat 9.0","Acrobat","9.0","Adobe Systems","","Enterprise Content Management (ECM) / Document and Records Management","None",false,
"4d25e2a3-8d0c-44a1-ad9b-a2ee8025db49","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Reader (Acrobat Reader) X (10.1)","software","X (10.1)","LINKED","sw_53769460",,,"X (10.1)","Adobe Systems","Adobe Systems Reader (Acrobat Reader) X (10.1)","53769460","19892751","lx_ITC_001044","Adobe Systems Acrobat Reader 10.1","Acrobat Reader","10.1","Adobe Systems","","Enterprise Content Management (ECM) / Document and Records Management","None",false,
"ee4d868c-6507-4de7-a425-092eb98db873","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Reader (Adobe Reader) XI (11.9)","software","XI (11.9)","LINKED","sw_100539122",,,"XI (11.9)","Adobe Systems","Adobe Systems Reader (Adobe Reader) XI (11.9)","100539122","19892751","lx_ITC_016236","Adobe Systems Reader 11.9","Reader","11.9","Adobe Systems","","Enterprise Content Management (ECM) / Document and Records Management","None",false,
"5f8a1688-970e-4fa5-a068-ad0d343a62c0","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Adobe Systems Sign n/a","software","n/a","LINKED","sw_764786863",,,"n/a","Adobe Systems","Adobe Systems Sign","764786863",,"lx_ITC_001300","Adobe Systems Sign","Sign","","Adobe Systems","","Enterprise Content Management (ECM) / Document Capturing and Imaging","None",false,
"a48b33d5-0894-472a-b5bc-5780d445dfe4","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Advantage Go Navigator n/a","software","n/a","LINKED","sw_764786942",,,"n/a","Advantage Go","Advantage Go Navigator","764786942",,"lx_ITC_001308","Advantage Go Navigator","Navigator","","Advantage Go","","Finance / Insurance","None",false,
"a71de9d6-6dda-490b-8277-79d87c41d9a7","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","ag-Grid Enterprise 22.0","software","22.0","LINKED","sw_764788106",,,"22.0","ag-Grid","ag-Grid Enterprise 22.0","764788106","19889417","lx_ITC_013981","ag-Grid Enterprise 22.0","Enterprise","22.0","ag-Grid","","Business Intelligence (BI) / Analytics","None",false,
"3e269ca1-99f2-4458-b40e-dcb4a3f7ce2e","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","ag-Grid Enterprise 24.0.0","software","24.0.0","LINKED","sw_764787063",,,"24.0.0","ag-Grid","ag-Grid Enterprise 24.0.0","764787063",,"lx_ITC_001310","ag-Grid Enterprise 24.0.0","Enterprise","24.0.0","ag-Grid","","Business Intelligence (BI) / Analytics","None",false,
"713ba9a9-5525-4e8f-8f9b-424b798e1410","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Allround Automations PL/SQL Developer 11 (11.0)","software","11 (11.0)","LINKED","sw_102056506",,,"11 (11.0)","Allround Automations","Allround Automations PL/SQL Developer 11 (11.0)","102056506","19892850","lx_ITC_015515","Allround Automations PL/SQL Developer 11.0","PL/SQL Developer","11.0","Allround Automations","","Software Development / Application Architecture and Design","None",false,
"2e867288-ef74-4d00-a69e-acb0b7dfd11b","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Altares Insider Register 1.8.0.7","software","1.8.0.7","LINKED","sw_764788484",,,"1.8.0.7","Altares","Altares Insider Register 1.8.0.7","764788484","19892784","lx_ITC_015612","Altares Insider Register 1.8.0.7","Insider Register","1.8.0.7","Altares","","IT Management / IT Asset Maintenance & Support","None",false,
"c94633d7-4270-482c-9606-90e18018898c","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation Apache Accumulo 1.10.0","software","1.10.0","LINKED","sw_764787000",,,"1.10.0","Apache Software Foundation","Apache Software Foundation Apache Accumulo 1.10.0","764787000","","lx_ITC_001421","Apache Software Foundation Apache Accumulo 1.10.0","Apache Accumulo","1.10.0","Apache Software Foundation","","Database Management Systems (DBMS) / Relational Database","None",false,
"0815ff81-cad4-4d6a-9a43-7de1a09e3ee0","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation Atlas 2.1","software","2.1","LINKED","sw_764787040",,,"2.1","Apache Software Foundation","Apache Software Foundation Atlas  2.1","764787040","","lx_ITC_001429","Apache Software Foundation Atlas 2.1","Atlas","2.1","Apache Software Foundation","","Middleware / Enterprise Integration","None",false,
"3a1d3ba0-52a7-4ead-a58d-6dd74756c129","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation Tomcat 7.0.0","software","7.0.0","LINKED","sw_13375603",,,"7.0.0","Apache Software Foundation","Apache Software Foundation Tomcat 7.0.0","13375603","19892803","lx_ITC_010390","Apache Software Foundation Tomcat 7.0.0","Tomcat","7.0.0","Apache Software Foundation","","Middleware / Web Servers","None",false,
"85ae84ad-3b77-40b6-996d-e76140e577a5","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation Tomcat 8.0.0","software","8.0.0","LINKED","sw_50415748",,,"8.0.0","Apache Software Foundation","Apache Software Foundation Tomcat 8.0.0","50415748","19892803","lx_ITC_010384","Apache Software Foundation Tomcat 8.0.0","Tomcat","8.0.0","Apache Software Foundation","","Middleware / Web Servers","None",false,
"bc04c4e3-6889-403d-90f1-da99d6c44bea","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation Tomcat 8.5","software","8.5","LINKED","sw_494635506",,,"8.5","Apache Software Foundation","Apache Software Foundation Tomcat 8.5","494635506","19892803","lx_ITC_001443","Apache Software Foundation Tomcat 8.5","Tomcat","8.5","Apache Software Foundation","","Middleware / Web Servers","None",false,
"860324bd-c91c-4a53-91d8-4a47f56b002a","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation Tomcat 9.0","software","9.0","LINKED","sw_152721894",,,"9.0","Apache Software Foundation","Apache Software Foundation Tomcat 9.0","152721894","19892803","lx_ITC_010393","Apache Software Foundation Tomcat 9.0","Tomcat","9.0","Apache Software Foundation","","Middleware / Web Servers","None",false,
"addcbb14-8a2c-4bd3-bc74-2ad620415abc","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation, The Camel 2.x (2.12)","software","2.x (2.12)","LINKED","sw_52927457",,,"2.x (2.12)","Apache Software Foundation, The","Apache Software Foundation, The Camel 2.x (2.12)","52927457","19892800","lx_ITC_013889","Apache Software Foundation Camel 2.12","Camel","2.12","Apache Software Foundation","","Middleware / Enterprise Integration","None",false,
"46e4f4d2-c8ca-4251-8014-c7c66d6df7b1","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation, The Tomcat 8.0.x (8.5(to be deleted))","software","8.0.x (8.5(to be deleted))","LINKED","sw_198353405",,,"8.0.x (8.5(to be deleted))","Apache Software Foundation, The","Apache Software Foundation, The Tomcat 8.0.x (8.5(to be deleted))","198353405",,"lx_ITC_001443","Apache Software Foundation Tomcat 8.5","Tomcat","8.5","Apache Software Foundation","","Middleware / Web Servers","None",false,
"1fdfe57d-d513-428e-a1ec-eba4b2299e9b","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation, The Zeppelin 0.x (0.7)","software","0.x (0.7)","LINKED","sw_331340612",,,"0.x (0.7)","Apache Software Foundation, The","Apache Software Foundation, The Zeppelin 0.x (0.7)","331340612",,"lx_ITC_016261","Apache Software Foundation Zeppelin 0.7","Zeppelin","0.7","Apache Software Foundation","","Software Development / Development Environment","None",false,
"17ecb007-4621-4861-9e9b-a4feaa084d2d","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apache Software Foundation, The ZooKeeper 3 (3.4.6)","software","3 (3.4.6)","LINKED","sw_78674707",,,"3 (3.4.6)","Apache Software Foundation, The","Apache Software Foundation, The ZooKeeper 3 (3.4.6)","78674707","19889430","lx_ITC_015547","Apache Software Foundation ZooKeeper 3.4.6","ZooKeeper","3.4.6","Apache Software Foundation","","Configuration Management / Software Configuration Management","None",false,
"ba7235c1-dec8-4d0b-8fb6-5a35ceb42881","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Appeon PowerBuilder 2019.0","software","2019.0","LINKED","sw_764786859",,,"2019.0","Appeon","Appeon PowerBuilder 2019","764786859",,"lx_ITC_001446","Appeon PowerBuilder 2019","PowerBuilder","2019","Appeon","","Software Development / Development Environment","None",false,
"01e6610a-8785-4c61-bacf-732a00f70ab9","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Appian Appian 18 (18.4)","software","18 (18.4)","LINKED","sw_678832495",,,"18 (18.4)","Appian","Appian 18 (18.4)","678832495","19892754","lx_ITC_015549","Appian Self-Managed 18.4","Appian","18.4","Appian","Self-Managed","Enterprise Content Management (ECM) / Workflow and Business Process Management","None",false,
"0c8fb82b-f3e0-4e47-824f-431e026d60f0","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Appian Appian 20.2","software","20.2","LINKED","sw_764786982",,,"20.2","Appian","Appian Self-Managed 20.2","764786982",,"lx_ITC_001447","Appian Self-Managed 20.2","Appian","20.2","Appian","Self-Managed","Enterprise Content Management (ECM) / Workflow and Business Process Management","None",false,
"b0e9bc8e-e05f-4efc-94e8-228145c6ef28","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Appian Appian 20.4","software","20.4","LINKED","sw_764788560",,,"20.4","Appian","Appian Appian 20.4","764788560","19892754","lx_ITC_017236","Appian 20.4","Appian","20.4","Appian","","Enterprise Content Management (ECM) / Workflow and Business Process Management","None",false,
"2995cdb9-4590-4f7e-9043-1d437f0934b3","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apple iOS 12 (12.1)","software","12 (12.1)","LINKED","sw_640225534",,,"12 (12.1)","Apple","Apple iOS 12 (12.1)","640225534","19892816","lx_ITC_011472","Apple iOS 12.1","iOS","12.1","Apple","","Operating Systems / Other Operating Systems","None",false,
"f67c447f-6638-4a9e-9e9e-91f7ee61c925","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apple Mac OS X 10.4 (Tiger) (10.4.6)","software","10.4 (Tiger) (10.4.6)","LINKED","sw_1087977",,,"10.4 (Tiger) (10.4.6)","Apple","Apple Mac OS X 10.4 (Tiger) (10.4.6)","1087977","19892814","lx_ITC_015847","Apple Mac OS X Tiger 10.4.6","Mac OS X Tiger","10.4.6","Apple","","Operating Systems / Mac OS","None",false,
"34b89299-bc58-4342-bc73-ee435009f594","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Apple Safari 11 (11.0)","software","11 (11.0)","LINKED","sw_397086028",,,"11 (11.0)","Apple","Apple Safari 11 (11.0)","397086028","19892830","lx_ITC_015849","Apple Safari 11.0","Safari","11.0","Apple","","Productivity / Web Browsers","None",false,
"d44f1cb3-9730-48f9-9cbf-c651f2cf649f","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Aspose Aspose.Cells for .NET 8 (8.8)","software","8 (8.8)","LINKED","sw_220523234",,,"8 (8.8)","Aspose","Aspose.Cells for .NET 8 (8.8)","220523234",,"lx_ITC_012728","Aspose Aspose.Cells for .NET 8.8","Aspose.Cells for .NET","8.8","Aspose","","Business Intelligence (BI) / Business Metrics and Reporting Tools","None",false,
"0229176e-507c-4e4f-bba4-ef0d5a566fbb","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Aspose Aspose.Email for .NET 6 (6.6)","software","6 (6.6)","LINKED","sw_238745623",,,"6 (6.6)","Aspose","Aspose.Email for .NET 6 (6.6)","238745623",,"lx_ITC_012731","Aspose Aspose.Email for .NET 6.6","Aspose.Email for .NET","6.6","Aspose","","Software Development / Application Architecture and Design","None",false,
"76b4baca-fd02-499a-abea-6670d13ede27","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Aspose Aspose.Slides for Cloud 17 (17.11)","software","17 (17.11)","LINKED","sw_608713865",,,"17 (17.11)","Aspose","Aspose.Slides for Cloud 17 (17.11)","608713865",,"lx_ITC_012732","Aspose Aspose.Slides for Cloud 17.11","Aspose.Slides for Cloud","17.11","Aspose","","Software Development / Application Architecture and Design","None",false,
"5f74d900-77ee-4094-84ba-2eb26921b77a","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Aspose Aspose.Words for .NET 17 (17.12)","software","17 (17.12)","LINKED","sw_506691882",,,"17 (17.12)","Aspose","Aspose.Words for .NET 17 (17.12)","506691882",,"lx_ITC_012733","Aspose Aspose.Words for .NET 17.12","Aspose.Words for .NET","17.12","Aspose","","Software Development / Development Environment","None",false,
"14192615-3a8b-4266-913b-5833da60d48f","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Aspose Aspose.Words for Android 17 (17.8)","software","17 (17.8)","LINKED","sw_607295269",,,"17 (17.8)","Aspose","Aspose.Words for Android 17 (17.8)","607295269",,"lx_ITC_012734","Aspose Aspose.Words for Android 17.8","Aspose.Words for Android","17.8","Aspose","","Software Development / Development Environment","None",false,
"4f79b386-7bcc-4dbc-a6ec-c79a0169005c","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Aspose Aspose.Words for Java 16 (16.8)","software","16 (16.8)","LINKED","sw_283165133",,,"16 (16.8)","Aspose","Aspose.Words for Java 16 (16.8)","283165133",,"lx_ITC_012735","Aspose Aspose.Words for Java 16.8","Aspose.Words for Java","16.8","Aspose","","Software Development / Development Environment","None",false,
"a68712d6-a051-4ffd-b485-1a4f4671dc9d","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Assurance Software Inc. Business Continuity & Disaster Recovery Management SaaS n/a","software","n/a","LINKED","sw_764788618",,,"n/a","Assurance Software","Assurance Software Business Continuity & Disaster Recovery Management SaaS","764788618","23239177","lx_ITC_018264","Assurance Software Business Continuity & Disaster Recovery Management SaaS","Business Continuity & Disaster Recovery Management SaaS","","Assurance Software","","Business Intelligence (BI) / Business Intelligence (BI) Suites","None",false,
"ca59f64f-5d60-49a9-8e63-45dc585f0169","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Atalasoft Dotlmage 10 (10.7)","software","10 (10.7)","LINKED","sw_515382337",,,"10 (10.7)","Atalasoft","Atalasoft Dotlmage 10 (10.7)","515382337",,"lx_ITC_012745","Atalasoft DotImage 10.7","DotImage","10.7","Atalasoft","","Software Development / Application Architecture and Design","None",false,
"5e8b1daf-9fac-4811-9b58-2a6e96a62ec2","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","AudioCodes Mediant Multi-Service Business Router (MSBR) 800C","hardware","800C","LINKED","hw_640597694",,,"800C","AudioCodes","AudioCodes Mediant Multi-Service Business Router (MSBR) 800C","640597694","19889391","lx_ITC_018792","AudioCodes Mediant Multi-Service Business Routers 800C","Mediant Multi-Service Business Routers","800C","AudioCodes","","Network Equipment / Routers","None",false,
"574f87a8-1a18-460d-8867-1d3824f887fa","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","AudioCodes Mediant Session Border Controller (SBC) 1000","hardware","1000","LINKED","hw_640227045",,,"1000","AudioCodes","AudioCodes Mediant Session Border Controller (SBC) 1000","640227045","19889415","lx_ITC_018791","AudioCodes Mediant Session Border Controller 1000","Mediant Session Border Controller","1000","AudioCodes","","Telephony Equipment / Telephone Exchanges","None",false,
"f9a27321-6969-4aae-b817-ca4047f2f4b0","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","AudioCodes Mediant Session Border Controller (SBC) 2600","hardware","2600","LINKED","hw_418912993",,,"2600","AudioCodes","AudioCodes Mediant Session Border Controller (SBC) 2600","418912993","19889415","lx_ITC_018793","AudioCodes Mediant Session Border Controller 2600","Mediant Session Border Controller","2600","AudioCodes","","Telephony Equipment / Telephone Exchanges","None",false,
"28928731-fb3c-4305-9e05-5b24215aeb9c","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Avaya Aura 6 (6.3)","software","6 (6.3)","LINKED","sw_112688381",,,"6 (6.3)","Avaya","Avaya Aura 6 (6.3)","112688381","23239174","lx_ITC_016425","Avaya Aura 6.3","Aura","6.3","Avaya","","Collaboration / Collaboration Platforms","None",false,
"5fac7d9c-d7c9-4db2-a74c-edd986768ba9","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Avaya IP Office VoIP Gateway 500","hardware","500","LINKED","hw_210338144",,,"500","Avaya","Avaya IP Office VoIP Gateway 500","210338144","19889415","lx_ITC_016263","Avaya VoIP Gateway 500","VoIP Gateway","500","Avaya","","Telephony Equipment / Telephone Exchanges","None",false,
"25b8d944-3307-4c0b-bbba-c8fedb12ce78","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Avocent DSView Server 1 (1.0)","software","1 (1.0)","LINKED","sw_16548322",,,"1 (1.0)","Avocent","Avocent DSView Server 1 (1.0)","16548322","19892784","lx_ITC_016217","Vertiv Avocent DSView Server 1.0","Avocent DSView Server","1.0","Vertiv","","IT Management / IT Asset Maintenance & Support","None",false,
"d492b3b9-6af1-42d5-a769-38dcda43fc29","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Blue Coat Systems AVOS 3 (3.5)","software","3 (3.5)","LINKED","sw_73856994",,,"3 (3.5)","Blue Coat Systems","Blue Coat Systems AVOS 3 (3.5)","73856994","19892843","lx_ITC_012759","Broadcom Blue Coat Systems AVOS 3.5","Blue Coat Systems AVOS","3.5","Broadcom","","Security / Anti Virus and Malware","None",false,
